計費方式,資料集說明網址,分類及編號,資料集提供機關聯絡人,收錄期間(迄),計費說明網址,資料集描述,授權方式,資料名稱,收錄期間(起),計費法令依據,更新頻率,資料連結網址,編碼格式,編號,資料集類型,資料集提供機關電話,檔案格式,資料集提供機關,標籤/關鍵字,最後更新時間,主要欄位,主要欄位說明,建立日期,資料來源,備註,資料量,資料集提供機關聯絡人電子郵件
免費,,交通及通訊,盧彥璁,,,臺北市交通資訊可變標誌資料集描述,依臺北市政府資料開放使用規範,臺北市交通資訊可變標誌,,,每日,http://data.taipei/opendata/datalist/datasetMeta?oid=38f2d8e0-07ce-4201-87cb-3462be39d8aa,"UTF-8,UTF-8,null,",1,原始資料,02-27256857-6857,"XML,XML,XML,",臺北市政府交通局,,2015/5/22 16:35,臺北市交通資訊可變標誌主要欄位說明,臺北市交通資訊可變標誌主要欄位說明,2014/12/31 20:48,臺北市政府交通局,,4099,ga_piko@mail.taipei.gov.tw
免費,,交通及通訊,黃華宇,,無,YouBike臺北市公共自行車即時資訊,依臺北市政府資料開放使用規範,YouBike臺北市公共自行車即時資訊,,無,10分鐘,http://data.taipei/opendata/datalist/datasetMeta?oid=8ef1626a-892a-4218-8344-f7ac46e1aa48,"UTF-8,",2,原始資料,02-27256857-6878,"JSON,",臺北市政府交通局,,2015/5/22 16:35,"iid：ItemId、
sv：場站狀態、
sd：啟用時間、
vtyp：版本別、
sno：場站代號、
sna：場站名稱、
sip：場站 IP、
tot：場站的總停車格、
sbi：場站的目前車輛數、
sarea：場站區域、
mday：資料更新時間、
lat：經度、
lng：緯度、
ar：地址、
sareaen：場站區域英文名稱、
snaen：場站英文名稱、
aren：英文地址、
nbcnt：擋板數量、
bemp：空位數量、
act：禁用狀態","iid：ItemId、
sv：場站狀態、
sd：啟用時間、
vtyp：版本別、
sno：場站代號、
sna：場站名稱、
sip：場站 IP、
tot：場站的總停車格、
sbi：場站的目前車輛數、
sarea：場站區域、
mday：資料更新時間、
lat：經度、
lng：緯度、
ar：地址、
sareaen：場站區域英文名稱、
snaen：場站英文名稱、
aren：英文地址、
nbcnt：擋板數量、
bemp：空位數量、
act：禁用狀態",2014/12/31 19:21,臺北市政府交通局,,307,ga_kimi1121@mail.taipei.gov.tw
免費,無,生活安全及品質,張文旭,,無,臺北市自來水事業處各水質監測站，所測得水質之濁度、餘氯、酸鹼度等數據15分鐘平均值,依臺北市政府資料開放使用規範,臺北市水質監測資訊,,無,每15分鐘,http://data.taipei/opendata/datalist/datasetMeta?oid=961ca397-4a59-45e8-b312-697f26b059dc,"UTF-8,",3,原始資料,02-87335838,"XML,",臺北自來水事業處,"水質監測,",2015/5/22 16:34,"1.update_date : 日期
2.update_time : 時間
3.qua_id : 監控站ID
4.code_name :  監控站名稱
5.longitude : 經度
6.latitude: 緯度
7.qua_cntu: 濁度(NTU)
8.qua_cl:  餘氯(mg/L)
9.qua_ph: 酸度(pH)
10.偵測值-9係維修中，暫停偵測。","1.update_date : 日期
2.update_time : 時間
3.qua_id : 監控站ID
4.code_name :  監控站名稱
5.longitude : 經度
6.latitude: 緯度
7.qua_cntu: 濁度(NTU)
8.qua_cl:  餘氯(mg/L)
9.qua_ph: 酸度(pH)
10.偵測值-9係維修中，暫停偵測。",2014/12/31 11:47,臺北自來水事業處,,63,winson@twd.gov.tw
免費,,公共資訊,羅克信,,,翡翠水庫水位資料資料集描述,依臺北市政府資料開放使用規範,翡翠水庫水位資料,,,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=9ebdd4b8-c211-4d28-b99d-f73a34d13867,"UTF-8,",4,原始資料,02-26664927-4927,"XML,",臺北翡翠水庫管理局,,2015/5/22 16:30,翡翠水庫水位資料主要欄位說明,翡翠水庫水位資料主要欄位說明,2014/12/31 20:14,臺北翡翠水庫管理局,,1,lokohsin@feitsui.gov.tw
免費,,交通及通訊,黃牧仁,,無,臺北市臺北公眾區免費無線上網(Taipei Free)熱點資料,依臺北市政府資料開放使用規範,臺北市公眾區免費無線上網熱點資料(新版),,無,每日,http://data.taipei/opendata/datalist/datasetMeta?oid=6aa6532d-652f-4c1b-814a-4646b75407af,"UTF-8,",5,原始資料,27208889#8573,"XML,",臺北市政府資訊局,,2015/5/22 16:27,熱點名稱、類別、地址、熱點類別、經度、緯度,熱點名稱、類別、地址、熱點類別、經度、緯度,2014/12/31 11:51,臺北市政府資訊局,,4844,ic-askemm@mail.taipei.gov.tw
免費,, ,陳崴逸,,,今日氣象資訊資料集描述,依臺北市政府資訊資產授權流通及加值利用作業要點,今日氣象資訊,,,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=5bc82dc7-f2a2-4351-abc8-c09c8a8d7529,"null,null,null,null,null,UTF-8,null,null,null,",6,網路服務,02-27258588,"XML,XML,XML,XML,XML,XML,XML,XML,XML,",臺北市政府資訊局,,2015/5/22 16:19,今日氣象資訊主要欄位說明,今日氣象資訊主要欄位說明,2014/12/31 19:44,臺北市政府資訊局,,2418,ic-wychen@mail.taipei.gov.tw
免費,, ,陳崴逸,,,一週氣象資訊資料集描述,依臺北市政府資訊資產授權流通及加值利用作業要點,一週氣象資訊,,,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=bceb2963-d2dd-4f2d-929c-67c1c0d48667,"null,",7,網路服務,2720-8889#8588,"XML,",臺北市政府資訊局,,2015/5/22 16:19,一週氣象資訊主要欄位說明,一週氣象資訊主要欄位說明,2014/12/31 19:43,臺北市政府資訊局,,330,ic-wychen@mail.taipei.gov.tw
免費, ,休閒旅遊,丁皓元,,無,臺北旅遊網-住宿資料,依臺北市政府資料開放使用規範,臺北市臺北旅遊網-住宿資料(英文),,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=a6d2b56b-4a25-4d0b-a4f7-55abef456358,"UTF-8,",8,網路服務,02-27208889-8514,"XML,",臺北市政府觀光傳播局,,2015/5/22 15:35,住宿代碼、住宿名稱、內容、地址、景點圖片、經緯度,住宿代碼、住宿名稱、內容、地址、景點圖片、經緯度,2014/12/31 11:56,臺北市政府觀光傳播局,,401筆, qa-hyting@mail.taipei.gov.tw
免費, ,休閒旅遊,丁皓元,,無,臺北旅遊網-住宿資料,依臺北市政府資料開放使用規範,臺北市臺北旅遊網-住宿資料(中文),,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=58093ba6-4c98-4148-b27a-50ad97d7afca,"UTF-8,",9,網路服務,02-27208889-8514,"XML,",臺北市政府觀光傳播局,"台北住宿,台北市住宿,臺北住宿,臺北市住宿,",2015/5/22 15:35,住宿代碼、住宿名稱、內容、地址、景點圖片、經緯度,住宿代碼、住宿名稱、內容、地址、景點圖片、經緯度,2014/12/31 11:56,臺北市政府觀光傳播局,,402筆, qa-hyting@mail.taipei.gov.tw
免費,,公共資訊,張逸君,2015/5/22,無,提供民眾本市行人專用清潔箱位置查詢,依臺北市政府資料開放使用規範,臺北市行人專用清潔箱,2014/12/25,無,不定期,http://data.taipei/opendata/datalist/datasetMeta?oid=a835f3ba-7f50-4b0d-91a6-9df128632d1c,"UTF-8,UTF-8,UTF-8,UTF-8,UTF-8,UTF-8,UTF-8,UTF-8,UTF-8,UTF-8,UTF-8,UTF-8,",10,原始資料,2720-8889#7275,"XLS,XLS,xlsx,XLS,XLS,XLS,XLS,XLS,XLS,XLS,XLS,XLS,",臺北市政府環境保護局,"垃圾桶,清潔箱,環境保護,",2015/5/22 15:02,臺北市政府環境保護局行人專用清潔箱設置地點一覽表,臺北市政府環境保護局行人專用清潔箱設置地點一覽表,2015/5/12 09:49,臺北市政府環境保護局,,約2683筆,la-7216@mail.taipei.gov.tw
免費,,公共資訊,吳祐綺,,無,嬰幼兒照顧服務-兒童托育資源中心,依臺北市政府資料開放使用規範,臺北市嬰幼兒照顧服務-兒童托育資源中心,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=01ac5a1d-dfc3-44c7-84a7-6d76bcb2879b,"UTF-8,",11,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:06,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:56,臺北市政府社會局,,1,youchi@mail.taipei.gov.tw
免費,,公共資訊,吳祐綺,,無,嬰幼兒照顧服務-臺北市私立托嬰中心,依臺北市政府資料開放使用規範,臺北市嬰幼兒照顧服務-臺北市私立托嬰中心,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=081df75e-85c7-464c-b125-546920911c5c,"UTF-8,",12,網路服務,02-27223250,"XML,",臺北市政府社會局,,2015/5/22 11:06,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:56,臺北市政府社會局,,90,youchi@mail.taipei.gov.tw
免費, ,公共資訊,吳祐綺,,無,身心障礙者服務-臺北市身心障礙福利會館,依臺北市政府資料開放使用規範,臺北市身心障礙者服務-臺北市身心障礙福利會館,,無,每天,http://data.taipei/opendata/datalist/datasetMeta?oid=63ffcab9-c4bb-407f-a4c3-3b87d149ba3f,"UTF-8,",13,網路服務,02-27208889#6995,"XML,",臺北市政府社會局,,2015/5/22 11:06,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,機構名稱、行政區、編號、負責人頭銜、負責人姓名、聯絡人頭銜、聯絡人姓名、屆期、郵遞區號、城市、地址、電話、傳真、網址、e-mail、機關簡介、字號標題、立案字號、開始日期標題、成立日期、項目一標題、項目一內容、項目二標題、項目二內容、組織區域、兼任里長、是否備有交通車、橫座標、縱座標、單位代碼、提供單位、上傳日期,2014/12/31 11:58,臺北市政府社會局,,,youchi@mail.taipei.gov.tw
